scene,round,frame,frame_wall_ms
classroom,2,93,437.282958
classroom,2,94,441.419834
classroom,2,95,439.454708
classroom,2,96,437.220416
classroom,2,97,439.411833
classroom,2,98,437.254667
classroom,2,99,442.961625
classroom,2,100,440.012750
classroom,2,101,439.749959
classroom,2,102,436.392500
classroom,2,103,442.561041
classroom,2,104,440.135334
classroom,2,105,441.522084
classroom,2,106,435.886834
classroom,2,107,436.103292
classroom,2,108,440.458834
classroom,2,109,440.653666
classroom,2,110,437.718916
classroom,2,111,439.411125
classroom,2,112,442.581250
classroom,2,113,440.726458
classroom,2,114,438.330000
classroom,2,115,439.730166
classroom,2,116,437.012375
classroom,2,117,442.731542
classroom,2,118,440.778250
classroom,2,119,437.612917
junkshop,1,0,5852.559125
junkshop,1,1,312.100458
junkshop,1,2,312.832583
junkshop,1,3,313.895667
junkshop,1,4,313.152708
junkshop,1,5,313.694666
junkshop,1,6,314.974416
junkshop,1,7,314.503084
junkshop,1,8,312.463250
junkshop,1,9,311.073708
junkshop,1,10,312.859417
junkshop,1,11,314.901792
junkshop,1,12,313.305958
junkshop,1,13,312.616750
junkshop,1,14,315.086708
junkshop,1,15,314.134625
junkshop,1,16,311.474291
junkshop,1,17,313.821750
junkshop,1,18,311.749042
junkshop,1,19,318.650625
junkshop,1,20,310.693042
junkshop,1,21,315.089458
junkshop,1,22,309.728833
junkshop,1,23,314.318458
junkshop,1,24,312.943291
junkshop,1,25,311.717375
junkshop,1,26,312.634584
junkshop,1,27,314.256541
junkshop,1,28,314.184958
junkshop,1,29,315.222500
junkshop,1,30,311.958333
junkshop,1,31,312.726125
junkshop,1,32,315.448583
junkshop,1,33,314.206000
junkshop,1,34,312.100666
junkshop,1,35,313.675875
junkshop,1,36,314.319750
junkshop,1,37,314.960583
junkshop,1,38,313.096667
junkshop,1,39,313.537125
junkshop,1,40,316.757792
junkshop,1,41,311.670041
junkshop,1,42,315.832583
junkshop,1,43,312.638625
junkshop,1,44,313.638458
junkshop,1,45,313.047333
junkshop,1,46,314.569750
junkshop,1,47,311.587875
junkshop,1,48,312.995458
junkshop,1,49,313.844542
junkshop,1,50,317.150708
junkshop,1,51,314.232458
junkshop,1,52,312.953000
junkshop,1,53,312.830750
junkshop,1,54,313.814791
junkshop,1,55,314.477333
junkshop,1,56,318.027375
junkshop,1,57,312.233917
junkshop,1,58,317.187375
junkshop,1,59,311.925125
junkshop,1,60,311.667417
junkshop,1,61,314.453459
junkshop,1,62,315.126375
junkshop,1,63,313.842584
junkshop,1,64,314.708167
junkshop,1,65,316.521042
junkshop,1,66,314.801167
junkshop,1,67,311.668166
junkshop,1,68,313.121542
junkshop,1,69,313.230917
junkshop,1,70,316.481709
junkshop,1,71,312.091375
junkshop,1,72,314.318250
junkshop,1,73,314.413500
junkshop,1,74,313.761583
junkshop,1,75,314.149125
junkshop,1,76,312.237250
junkshop,1,77,313.175583
junkshop,1,78,313.917417
junkshop,1,79,315.498750
junkshop,1,80,314.843500
junkshop,1,81,313.304166
junkshop,1,82,313.058166
junkshop,1,83,314.001583
junkshop,1,84,314.876250
junkshop,1,85,311.913833
junkshop,1,86,314.403459
junkshop,1,87,312.819458
junkshop,1,88,313.598250
junkshop,1,89,312.302000
junkshop,1,90,312.498250
junkshop,1,91,314.368042
junkshop,1,92,313.300208
junkshop,1,93,315.148791
junkshop,1,94,317.879750
junkshop,1,95,312.683750
junkshop,1,96,313.462708
junkshop,1,97,314.801709
junkshop,1,98,314.044416
